"generator","generator_name","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","mean_stop_offset","mean_restart_offset","mean_abs_stop_offset","mean_abs_restart_offset","score","confidence"
"EXCHEC_7_UNIT 1","EXCHEQUER HYDRO",140162,8,94.5,94.5,0,0,69,0,69,8,0.764550264550265
"SNCLRA_6_OXGEN","OXGEN",426166,4,47.7,47.7,0,0,47.5,0,47.5,4,0.756813417190776
"CARLS1_2_CARCT1","Carlsbad 1",129058,681,422,422,0,0,11.2657856093979,0,11.2657856093979,681,0.75
"SCEN_6_RDRR02","BIP-API-N-LSE",570814,1,75,75,0,0,1440,0,1440,1,0.746666666666667
"MKTRCK_1_UNIT 1","MCKITTRICK LIMITED",497303,1,47.72,57.25,0.199706621961442,0,13801,0,13801,0.800293378038558,0.74548311076198
"ANAHM_2_CANYN4","CANYON POWER PLANT UNIT 4",155479,5,49.8,49.8,0,0,109.2,0,109.2,5,0.74144578313253
"DYERSM_6_DSWWD1","Dyer Summit Wind Repower",860091,6,44.8,44.8,0,0,152.5,0,152.5,6,0.727678571428571
"SCEW_2_PDRP167","LCR AMS Hybrid West LA 1-W-2-SCE",124493,1,9.42,10,0.0615711252653928,0,18541,0,18541,0.938428874734607,0.72022572022572
"MANZNA_2_WIND","Manzana Wind",441240,1,189,100,0.470899470899471,1,141180,1,141180,0.529100529100529,0.72
"COLVIL_7_PL1X2","COLLIERVILLE HYDRO UNIT 1 & 2 AGGREGATE",201370,1,246.86,246.86,0,0,65,0,65,1,0.696184071943612
"WDLEAF_7_UNIT 1","WOODLEAF HYDRO",236353,6,60,60,0,0,209.666666666667,0,209.666666666667,6,0.6875
"NCPA_7_GP2UN4","NCPA GEO PLANT 2 UNIT 4",106763,3,52.73,52.73,0,0,30724.3333333333,0,30724.3333333333,3,0.683924394715216
"VICTOR_1_SOLAR2","Alamo Solar",159086,3,20,20,0,0,260,0,260,3,0.681333333333333
"STNRES_1_UNIT","Covanta Stanislaus",142368,1,19.9,25,0.256281407035176,0,6239,0,6239,0.743718592964824,0.675675675675676
"BIGSKY_2_SOLAR5","Big Sky Solar 2",445378,1,5,5,0,-1,36,1,36,1,0.674
"GARNET_2_WIND1","Phoenix",118049,1,11.2,9.2,0.178571428571429,0,705,0,705,0.821428571428571,0.673913043478261
"GARNET_1_WT3WND","Wagner Wind",189702,3,6,5.84,0.0266666666666667,0,87.6666666666667,0,87.6666666666667,2.92,0.66324200913242
"FLOWD_2_WIND1","Cameron Ridge 2",146475,1,11.9,6.2,0.478991596638655,0,45,0,45,0.521008403361344,0.662903225806452
"VESTAL_2_SOLAR1","NICOLIS",214685,1,20,20,0,0,60,0,60,1,0.65
"STANIS_7_UNIT 1","STANISLAUS HYDRO",105576,2,91,91,0,0,118.5,0,118.5,2,0.642857142857143
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",246186,1,820,175,0.786585365853659,-4,725,4,725,0.213414634146341,0.64
"TULLCK_7_UNITS","Tullock Hydro",134646,15,25.9,25.9,0,-0.133333333333333,10.6666666666667,0.133333333333333,10.6666666666667,15,0.63963963963964
"TULARE_2_TFCBM1","LB Trigen Fuel Cell 1",257250,1,2.8,2,0.285714285714286,0,25980,0,25980,0.714285714285714,0.635
"CONTRL_1_RUSHCK","RUSH CREEK",691663,5,12.19,12.19,0.00837520938023451,0,797.6,0,797.6,4.95812395309883,0.633683457863113
"HENRTA_6_ELCBX2","Electrolyte",243483,1,99.4,104,0.0462776659959758,0,120,0,120,0.953722334004024,0.630801687763713
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",179949,35,70.4,26,0.630681818181818,0,6.85714285714286,0,6.85714285714286,12.9261363636364,0.626373626373626
"BREGGO_6_DEGRSL","Desert Green Solar Farm",203902,1,6.3,10,0.587301587301587,0,1380,0,1380,0.412698412698413,0.619230769230769
"ALTA3A_2_CPCE8","Alta Wind 8",711517,1,150,120,0.2,0,NA,0,NA,0.8,0.616666666666667
"WESCAN_2_BDSBT1","Bateria Del Sur",695464,9,131,131,0,0,620.777777777778,0,620.777777777778,9,0.609838846480068
"RTEDDY_2_RWSBT3","Rosamond West Solar Central BESS A3",915712,23,45,50,0.111111111111111,0,235.217391304348,0,235.217391304348,20.4444444444444,0.608695652173913
"CHWCHL_1_AVSSR2","Avenue 26 Phase II Solar",818615,1,5,5,0,0,124140,0,124140,1,0.6
"COTTLE_2_FRNKNH","Frankenheimer Power Plant",842570,1,5.3,5,0.0566037735849056,0,570,0,570,0.943396226415094,0.6
"SCHNDR_1_FIVPTS","Five Points Solar Station",120392,1,15,7,0.533333333333333,0,7,0,7,0.466666666666667,0.6
"ENERSJ_2_WIND","ESJ Wind Energy",704081,1,151,180,0.19205298013245,0,460,0,460,0.80794701986755,0.590163934426229
"DVLCYN_1_UNITS","DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE",407814,2,235,235,0,0,81,0,81,2,0.574468085106383
"TAHOE_2_THOBT1","Tahoe 1",144713,6,60,52.5,0.125,0,180.333333333333,0,180.333333333333,5.25,0.571428571428571
"BDGRCK_1_UNITS","BADGER CREEK LIMITED",288617,3,48.08,42,0.126455906821963,1,240,1,240,2.62063227953411,0.571428571428571
"WSTWND_2_SBSBT3","Sagebrush Solar 2 ESS 59",655049,3,59,73,0.23728813559322,0,338,0,338,2.28813559322034,0.57037037037037
"PIT6_7_UNIT 2","PIT PH 6 UNIT 2",137216,20,40,40,0,0,445.05,0,445.05,20,0.56125
"SALIRV_2_UNIT","Salinas River Cogeneration",411064,3,39,27,0.307692307692308,-0.333333333333333,1316.33333333333,0.333333333333333,1316.33333333333,2.07692307692308,0.555555555555555
"ULTRCK_2_UNIT","Rio Bravo Rocklin",206861,1,24.4,25,0.0245901639344263,0,2535,0,2535,0.975409836065574,0.546218487394958
"LODIEC_2_PL1X2","Lodi Energy Center",658374,4,302.58,302.58,0,0,10710.75,0,10710.75,4,0.545574724039923
"YELPIN_2_YP2SR3","Yellow Pine 2 B PV",462729,1,65,54.6,0.16,0,6003,0,6003,0.84,0.542124542124542
"FIFTHS_2_FSSBT","Fifth Standard Battery",432370,6,137,137,0,0,10,0,10,6,0.534671532846715
"CARLS2_1_CARCT1","Carlsbad 2",710016,684,105.5,105.5,0,0.00292397660818713,6.31578947368421,0.00292397660818713,6.31578947368421,684,0.533701948393892
"COLGNS_2_CNSSR1","ColGreen North Shore",234172,9,74.8,74,0.0106951871657754,-0.111111111111111,378.444444444444,0.111111111111111,378.444444444444,8.90374331550802,0.531231231231231
"VERNON_6_MALBRG","Malburg Generating Station",117281,2,139,139,0,0,10801,0,10801,2,0.528776978417266
"USWNDR_2_SMUD2","Solano Wind Project Phase 3",970587,2,127.8,127.8,0,0,826.5,0,826.5,2,0.52660406885759
"DUANE_1_PL1X3","DONALD VON RAESFELD POWER PROJECT",514544,6,147.8,147.8,0,0,1470.66666666667,0,1470.66666666667,6,0.50744248985115
"MILFRD_7_PASADENA","Milford I",189472,1,5,4.05,0.19,0,0,0,0,0.81,0.506172839506173
"MSOLAR_2_SOLAR3","Mesquite Solar 3, LLC",196895,7,152,150,0.0131578947368421,0,51.4285714285714,0,51.4285714285714,6.90789473684211,0.5
"BIGSKY_2_BSKSR8","Big Sky Solar 8",102291,2,20,20,0,-1,317,1,317,2,0.5
"ALAMIT_7_UNIT 5","ALAMITOS GEN STA. UNIT 5",242617,2,480,480,0,1,56219,1,56219,2,0.5
"MAGNLA_6_CERRITOS","Magnolia Power Plant Cerritos",649909,2,12,12,0,0,0,0,0,2,0.5
"TIGRCK_7_UNITS","TIGER CREEK HYDRO AGGREGATE",506140,2,62,50,0.193548387096774,0,1721.5,0,1721.5,1.61290322580645,0.5
"BRDSLD_2_SHLO3B","Shiloh IV Wind Project",165180,1,100,100,0,0,125,0,125,1,0.5
"EDWARD_2_ESSSB1","Sanborn Solar 2 Edwards 5",173313,34,116,100,0.137931034482759,0,17.6470588235294,0,17.6470588235294,29.3103448275862,0.499411764705882
"ELCAJN_6_LM6K","El Cajon Energy Center",138902,2,48.1,50,0.0395010395010395,-2.5,3617.5,2.5,3617.5,1.92099792099792,0.494588744588745
"OMAR_2_UNIT 4","KERN RIVER COGENERATION CO. UNIT 4",159275,2,75,76,0.0133333333333333,0,5761,0,5761,1.97333333333333,0.493243243243243
"VEGA_6_SOLAR1","Vega Solar",181841,4,20,20,0,0,294.75,0,294.75,4,0.492625
"PAIGES_6_SOLAR","Paige Solar",131964,1,20,13.53,0.3235,0,392,0,392,0.6765,0.482631189948263
"ATWEL2_1_SOLAR1","Atwell West",415983,1,20,9.6,0.52,0,455,0,455,0.48,0.479166666666667
"SCEHOV_2_HOOVER","SCEHOV_2_HOOVER",144033,1,287.01,287,3.48419915682064e-05,0,NA,0,NA,0.999965158008432,0.477351916376307
"ALMASL_2_AL6BT6","Almasol 6 BES",126265,1,50,38,0.24,5,60,5,60,0.76,0.473684210526316
"CHWCHL_1_UNIT","CHOW 2 PEAKER PLANT",142017,1,48.6,50,0.0288065843621399,0,60,0,60,0.97119341563786,0.470338983050847
"SANBRN_2_ESABT1","EdSan 1A",161396,2,100,94,0.06,0,360,0,360,1.88,0.468085106382979
"CALFTS_2_CFSSR1","California Flats Solar South",529747,4,150,75,0.5,-0.5,25.5,0.5,25.5,2,0.464666666666667
"RTEDDY_2_RWSBT4","Rosamond West Solar Central BESS B",124287,16,30,26,0.133333333333333,0,218.0625,0,218.0625,13.8666666666667,0.459134615384615
"BALCHS_7_UNIT 1","BALCH 1 PH UNIT 1",159511,6,31,43,0.387096774193548,0,389.833333333333,0,389.833333333333,3.67741935483871,0.456140350877193
"GENESI_2_STG","Genesis Station",183646,6,250,219.7,0.1212,-0.5,1758,2.16666666666667,1758,5.2728,0.449248975876195
"CHEVCD_6_UNIT","CHEVRON USA (TAFT/CADET)",108072,1,11.5,16.8,0.460869565217391,0,893,0,893,0.539130434782609,0.446774193548387
"GATWAY_2_PL1X3","GATEWAY GENERATING STATION",181838,2,585,541,0.0752136752136752,0,1012.5,0,1012.5,1.84957264957265,0.44547134935305
"LCKHT1_2_LH1SR1","Lockhart Solar 1 PV",131086,32,65,63,0.0307692307692308,0,75,0,75,31.0153846153846,0.440067693744164
"CHWCHL_1_AVSSR1","Avenue 26 Phase I Solar",126447,2,2.56,1,0.609375,0,180,0,180,0.78125,0.44
"SUNCAT_2_A1BBT1","Arlington Solar Unit 1B BESS",208011,2,63,55.83,0.113809523809524,0,375,0,375,1.77238095238095,0.435787211176787
"ALAMO_6_UNIT","ALAMO POWER PLANT",164152,2,17,15,0.117647058823529,0,118,0,118,1.76470588235294,0.433333333333333
"OBERON_5_O2BBX2","Oberon 2 BESS",556956,14,125,104.5,0.164,0.0714285714285714,688.571428571429,0.214285714285714,688.571428571429,11.704,0.430622009569378
"UKIAH_7_LAKEMN","UKIAH LAKE MENDOCINO HYDRO",163157,1,3.5,3.5,0,-1,1201,1,1201,1,0.428571428571429
"TEHAPI_2_PW2WD2","Point Wind 2",193972,1,14.4,19.85,0.378472222222222,0,146,0,146,0.621527777777778,0.425698324022346
"DEVERS_1_SOLAR2","SEPV9",155548,3,9,0.73,0.918888888888889,0,9740,0,9740,0.243333333333333,0.424657534246576
"WALCRK_2_CTG2","Walnut Creek Energy Park Unit 2",542415,30,100.1,42,0.567068572743942,0,228,0,228,12.9879428176818,0.407799493967951
"PIT6_7_UNIT 1","PIT PH 6 UNIT 1",211495,18,39,39,0,0,4493.27777777778,0,4493.27777777778,18,0.404558404558405
"KINGRV_7_UNIT 1","KINGS RIVER HYDRO UNIT 1",949253,5,51.2,49,0.0429687500000001,0,142.8,0,142.8,4.78515625,0.4
"RVSIDE_6_SPRING","SPRINGS GENERATION PROJECT AGGREGATE",461606,4,36,30,0.166666666666667,0,601,0,601,3.33333333333333,0.4
"PROXSR_2_PS1BT2","Proxima Solar BESS 1B",959874,3,32,30,0.0625,0,236.333333333333,0,236.333333333333,2.8125,0.4
"ARCOGN_2_UNITS","WATSON COGENERATION",443551,1,305,300,0.0163934426229508,0,0,0,0,0.983606557377049,0.4
"DRACKR_2_DS3SR3","Dracker Solar Unit 3",950113,2,125,200,0.6,0,960,0,960,0.8,0.4
"GRNLF1_1_PL1X2","Greenleaf 1",454660,2,60,53,0.116666666666667,0.5,480,0.5,480,1.76666666666667,0.39622641509434
"SENTNL_2_CTG1","Sentinel Unit 1",568837,2,107.68,104.16,0.0326894502228827,-2.5,217,2.5,217,1.93462109955423,0.395161290322581
"ENWIND_2_WIND1","Cameron Ridge",719983,1,47.1,40,0.150743099787686,0,240,0,240,0.849256900212314,0.395
"CONTRL_1_LUNDY","LUNDY",991404,2,3,1.65,0.45,1,60102.5,1,60102.5,1.1,0.393939393939394
"PIT5_7_PL1X2","PIT PH 5 UNITS 1 & 2 AGGREGATE",877294,5,82,75,0.0853658536585366,0,2919,0,2919,4.57317073170732,0.392
"TAHOE_2_THOBT3","Tahoe 3",121702,2,110,100,0.0909090909090909,0,7201,0,7201,1.81818181818182,0.39
"ROLLIN_6_UNIT","ROLLINS HYDRO",135881,2,13.5,18,0.333333333333333,-2,310,2,310,1.33333333333333,0.388888888888889
"CUYAMS_6_CUYSR1","Cuyama Solar",685873,5,40,40,0,-1,138,1,138,5,0.3875
"MRCHNT_2_PL1X3","Desert Star Energy Center",305080,2,494.58,600,0.213150551983501,0.5,11057,0.5,11057,1.573698896033,0.377942234556481
"PIT7_7_UNIT 1","PIT PH 7 UNIT 1",152595,11,55.7,55.7,0,0,35.5454545454545,0,35.5454545454545,11,0.37620368859148
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",113238,1,50,40,0.2,0,984,0,984,0.8,0.375
"MOSSLD_2_PSP2","MOSS LANDING POWER BLOCK 2",776408,2,510,530,0.0392156862745098,0,43372,0,43372,1.92156862745098,0.372448979591837
"SLSTR1_2_SOLAR1","Solar Star 1",126469,2,310,374,0.206451612903226,0,240,0,240,1.58709677419355,0.371951219512195
"BLACK_7_UNIT 1","JAMES B. BLACK 1",196140,14,85,85,0,-0.142857142857143,403.928571428571,0.142857142857143,403.928571428571,14,0.363949579831933
"OMAR_2_UNIT 3","KERN RIVER COGENERATION CO. UNIT 3",184942,2,75,75,0,0,17281,0,17281,2,0.36
"ETIWND_6_INEBT1","Inland Empire Energy Storage",155078,2,70,62,0.114285714285714,0,901,0,901,1.77142857142857,0.354838709677419
